"","Event.Date","State","Latitude","Longitude","Injury.Severity","Aircraft.Damage","Amateur.Built","Purpose.of.Flight"
"1",2018-04-12," AK "," 60.539722 "," -150.869723 "," Non-Fatal "," Substantial "," No "," Personal "
"2",2018-04-10," CA "," 38.512778 "," -121.498889 "," Non-Fatal "," Substantial "," No "," Instructional "
"3",2018-04-10," CA "," 32.572500 "," -116.980556 "," Non-Fatal "," Substantial "," No "," Instructional "
"4",2018-04-10," NM "," 35.094722 "," -106.164444 "," Non-Fatal "," Substantial "," Yes "," Personal "
"5",2018-04-09," CA "," 38.893889 "," -119.995277 "," Non-Fatal "," Substantial "," No "," Instructional "
"6",2018-04-08," AZ "," 32.139166 "," -111.173334 "," Non-Fatal "," Substantial "," No "," Instructional "
"7",2018-04-06," ID "," 43.641944 "," -116.635833 "," Non-Fatal "," Substantial "," Yes "," Personal "
"8",2018-04-05," TX "," 34.225278 "," -99.283056 "," Non-Fatal "," Substantial "," No "," Personal "
"9",2018-04-05," CA "," 37.691944 "," -121.819445 "," Non-Fatal "," Substantial "," No "," Instructional "
"10",2018-04-01," AK "," 59.442222 "," -151.703889 "," Non-Fatal "," Substantial "," No "," Instructional "
"11",2018-04-01," AZ "," 33.688889 "," -112.081945 "," Non-Fatal "," Substantial "," No "," Instructional "
"12",2018-03-31," CA "," 34.345277 "," -119.047500 "," Fatal"," Destroyed "," Yes "," Personal "
"14",2018-03-31," AZ "," 34.650000 "," -112.427500 "," Non-Fatal "," Substantial "," No "," Instructional "
"15",2018-03-31," OK ","  ","  "," Non-Fatal "," Substantial "," No "," Personal "
"16",2018-03-30," CA "," 41.890277 "," -121.975556 "," Non-Fatal "," Substantial "," No "," Personal "
"18",2018-03-30," AZ "," 32.958889 "," -112.679445 "," Non-Fatal "," Substantial "," No "," Instructional "
"19",2018-03-30," ID "," 43.583333 "," -116.523334 "," Non-Fatal "," Substantial "," No "," Personal "
"20",2018-03-29," FL "," 26.593055 "," -80.085000 "," Non-Fatal "," Substantial "," No "," Personal "
"21",2018-03-29," MA "," 41.676945 "," -70.958611 "," Non-Fatal "," Substantial "," No "," Instructional "
"23",2018-03-29," MN "," 47.249166 "," -91.415556 "," Non-Fatal "," Substantial "," Yes "," Personal "
"26",2018-03-28," FL "," 27.462500 "," -81.344722 "," Non-Fatal "," Substantial "," Yes "," Personal "
"28",2018-03-27," CA "," 33.871945 "," -117.979723 "," Non-Fatal "," Substantial "," No "," Personal "
"29",2018-03-26," CA "," 36.675556 "," -121.756944 "," Fatal"," Destroyed "," No "," Personal "
"30",2018-03-26," NH ","  ","  "," Non-Fatal "," Substantial "," Yes "," Personal "
"31",2018-03-25," OK "," 35.454444 "," -98.562778 "," Fatal"," Destroyed "," No "," Personal "
"32",2018-03-25," TX "," 28.154167 "," -96.975834 "," Non-Fatal "," Substantial "," No "," Personal "
"34",2018-03-23," AL "," 34.407222 "," -86.933056 "," Non-Fatal "," Substantial "," No "," Personal "
"35",2018-03-23," PA "," 40.772500 "," -80.386944 "," Non-Fatal "," Substantial "," No "," Instructional "
"36",2018-03-23," MS "," 32.622500 "," -90.103056 "," Non-Fatal "," Substantial "," No "," Personal "
"37",2018-03-22," MO "," 39.123056 "," -94.592777 "," Non-Fatal "," Substantial "," No "," Personal "
"38",2018-03-22," MI "," 42.887500 "," -84.716945 "," Non-Fatal "," Substantial "," Yes "," Personal "
"39",2018-03-21," IN "," 41.325556 "," -86.662222 "," Non-Fatal "," Substantial "," No "," Instructional "
"40",2018-03-21," OK "," 35.793611 "," -96.029723 "," Non-Fatal "," Substantial "," No "," Personal "
"41",2018-03-21," NE "," 42.238611 "," -97.597222 "," Fatal"," Substantial "," Yes "," Personal "
"42",2018-03-20," OR "," 46.155000 "," 123.237500 "," Non-Fatal "," Substantial "," Yes "," Personal "
"43",2018-03-20," SD ","  ","  "," Non-Fatal "," Substantial "," No "," Personal "
"44",2018-03-20," OR "," 43.863611 "," -121.407778 "," Non-Fatal "," Substantial "," No "," Personal "
"47",2018-03-18," CA "," 39.219723 "," -121.411389 "," Non-Fatal "," Substantial "," No "," Personal "
"48",2018-03-18," OR ","  ","  "," Non-Fatal "," Substantial "," No "," Instructional "
"49",2018-03-17," FL "," 26.971111 "," -81.960833 "," Non-Fatal "," Destroyed "," Yes "," Personal "
"50",2018-03-16," CA "," 37.622500 "," -118.833056 "," Non-Fatal "," Substantial "," No "," Personal "
"53",2018-03-16," FL "," 29.658333 "," -81.683611 "," Non-Fatal "," Substantial "," No "," Personal "
"54",2018-03-16," FL "," 29.658333 "," -81.683611 "," Non-Fatal "," Substantial "," No "," Instructional "
"55",2018-03-15," FL "," 24.556111 "," -81.759444 "," Non-Fatal "," Substantial "," No "," Personal "
"56",2018-03-14," FL "," 29.134166 "," -83.050556 "," Non-Fatal "," Substantial "," No "," Personal "
"57",2018-03-14," TX "," 29.336944 "," -98.471111 "," Non-Fatal "," Substantial "," No "," Personal "
"58",2018-03-14," TX "," 32.415556 "," -97.384166 "," Non-Fatal "," Substantial "," Yes "," Personal "
"59",2018-03-13," FL "," 26.918334 "," -81.996666 "," Non-Fatal "," Substantial "," No "," Personal "
"61",2018-03-13," VA "," 36.665556 "," -76.320556 "," Non-Fatal "," Substantial "," No "," Personal "
